protein_accession,protein_description,control_1,control_2,control_3,treatment_1,treatment_2,treatment_3
E5RFX4_HUMAN_E5RFX4,Lymphokine-activated killer T-cell-originated protein kinase (Fragment) OS=Homo sapiens GN=PBK PE=1 SV=2,0.0793,0.1048,NA,0.0653,0.077,0.0719
F5H0U2_HUMAN_F5H0U2,C2 domain-containing protein 3 OS=Homo sapiens GN=C2CD3 PE=1 SV=1,6.304,NA,2.2796,NA,1.1626,0.8278
E7ENQ6_HUMAN_E7ENQ6,Uncharacterized protein OS=Homo sapiens PE=4 SV=1,0.3487,0.3248,0.2851,NA,NA,0.2286
MPDZ_HUMAN_O75970,Multiple PDZ domain protein OS=Homo sapiens GN=MPDZ PE=1 SV=2,1.5695,0.3209,0.0408,0.8651,0.245,NA
NEDD1_HUMAN_Q8NHV4,Protein NEDD1 OS=Homo sapiens GN=NEDD1 PE=1 SV=1,NA,0.1186,NA,0.0589,0.6487,0.0821
UBP7_HUMAN_Q93009,Ubiquitin carboxyl-terminal hydrolase 7 OS=Homo sapiens GN=USP7 PE=1 SV=2,0.0841,NA,0.1316,NA,NA,NA
G3V3M6_HUMAN_G3V3M6,DNA-(apurinic or apyrimidinic site) lyase (Fragment) OS=Homo sapiens GN=APEX1 PE=1 SV=1,NA,0.2411,NA,0.2209,0.2371,NA
EI2BB_HUMAN_P49770,Translation initiation factor eIF-2B subunit beta OS=Homo sapiens GN=EIF2B2 PE=1 SV=3,NA,NA,NA,0.2616,0.286,NA
NSDHL_HUMAN_Q15738,Sterol-4-alpha-carboxylate 3-dehydrogenase_ decarboxylating OS=Homo sapiens GN=NSDHL PE=1 SV=2,0.0351,0.0881,NA,NA,0.0848,NA
GLGB_HUMAN_Q04446,1_4-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3,NA,0.2361,NA,0.3126,0.2889,0.2094
DHRS7_HUMAN_Q9Y394,Dehydrogenase/reductase SDR family member 7 OS=Homo sapiens GN=DHRS7 PE=1 SV=1,0.3577,NA,0.4231,NA,0.2948,NA
C9J0K6_HUMAN_C9J0K6,Sorcin OS=Homo sapiens GN=SRI PE=1 SV=1,NA,0.1344,NA,0.1623,0.114,0.041
D6RGI3_HUMAN_D6RGI3,Septin 11_ isoform CRA_b OS=Homo sapiens GN=SEPT11 PE=1 SV=1,0.4819,0.5823,NA,0.4761,0.2691,0.4469
EXOS9_HUMAN_Q06265,Exosome complex component RRP45 OS=Homo sapiens GN=EXOSC9 PE=1 SV=3,NA,NA,0.4102,NA,0.1968,0.364
SC61B_HUMAN_P60468,Protein transport protein Sec61 subunit beta OS=Homo sapiens GN=SEC61B PE=1 SV=2,NA,NA,0.1136,0.2262,0.1504,NA
DAXX_HUMAN_Q9UER7,Death domain-associated protein 6 OS=Homo sapiens GN=DAXX PE=1 SV=2,0.1558,NA,0.0503,0.1433,NA,0.0954
DDX42_HUMAN_Q86XP3,ATP-dependent RNA helicase DDX42 OS=Homo sapiens GN=DDX42 PE=1 SV=1,0.3462,NA,NA,0.3039,NA,NA
E9PMI6_HUMAN_E9PMI6,Methylosome subunit pICln OS=Homo sapiens GN=CLNS1A PE=1 SV=1,NA,NA,0.1009,NA,0.0509,NA
UBE2C_HUMAN_O00762,Ubiquitin-conjugating enzyme E2 C OS=Homo sapiens GN=UBE2C PE=1 SV=1,NA,0.0664,NA,0.0671,0.0933,NA
H0Y4T6_HUMAN_H0Y4T6,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 (Fragment) OS=Homo sapiens GN=PIN4 PE=1 SV=1,NA,NA,0.0423,0.058,0.057,0.041
C9JY26_HUMAN_C9JY26,Ras-related protein Rab-34_ isoform NARR (Fragment) OS=Homo sapiens GN=RAB34 PE=1 SV=9,0.3392,0.3247,0.4482,NA,0.1621,NA
GOLM1_HUMAN_Q8NBJ4,Golgi membrane protein 1 OS=Homo sapiens GN=GOLM1 PE=1 SV=1,NA,0.0657,NA,0.0452,0.0547,NA
ABCA7_HUMAN_Q8IZY2,ATP-binding cassette sub-family A member 7 OS=Homo sapiens GN=ABCA7 PE=1 SV=3,2.7711,3.2933,0.3572,0.1628,3.5796,NA
G3XAH6_HUMAN_G3XAH6,Poly(A) polymerase alpha OS=Homo sapiens GN=PAPOLA PE=1 SV=1,1.1017,NA,0.897,0.1848,0.1936,0.9418
DD19A_HUMAN_Q9NUU7,ATP-dependent RNA helicase DDX19A OS=Homo sapiens GN=DDX19A PE=1 SV=1,1.4581,NA,NA,1.0979,0.0663,1.0134
ESTD_HUMAN_P10768,S-formylglutathione hydrolase OS=Homo sapiens GN=ESD PE=1 SV=2,NA,NA,0.4422,0.2061,0.2696,0.2146
PPCS_HUMAN_Q9HAB8,Phosphopantothenate--cysteine ligase OS=Homo sapiens GN=PPCS PE=1 SV=2,NA,NA,0.1682,0.1262,0.0412,0.0996
E9PM69_HUMAN_E9PM69,26S protease regulatory subunit 6A OS=Homo sapiens GN=PSMC3 PE=1 SV=1,1.3355,1.1997,NA,NA,NA,1.1583
ARF5_HUMAN_P84085,ADP-ribosylation factor 5 OS=Homo sapiens GN=ARF5 PE=1 SV=2,0.199,0.4016,NA,0.2386,NA,NA
SIAS_HUMAN_Q9NR45,Sialic acid synthase OS=Homo sapiens GN=NANS PE=1 SV=2,NA,0.1964,NA,2.0092,0.1412,NA
PPM1B_HUMAN_O75688,Protein phosphatase 1B OS=Homo sapiens GN=PPM1B PE=1 SV=1,NA,0.267,0.2786,NA,NA,0.3068
TPBG_HUMAN_Q13641,Trophoblast glycoprotein OS=Homo sapiens GN=TPBG PE=1 SV=1,NA,0.078,0.1808,0.1847,NA,NA
E9PPN3_HUMAN_E9PPN3,N-terminal kinase-like protein OS=Homo sapiens GN=SCYL1 PE=1 SV=1,NA,0.1837,0.2029,0.1882,NA,0.178
SLAI2_HUMAN_Q9P270,SLAIN motif-containing protein 2 OS=Homo sapiens GN=SLAIN2 PE=1 SV=2,0.1107,0.1102,0.1974,0.0789,0.073,NA
CIP2A_HUMAN_Q8TCG1,Protein CIP2A OS=Homo sapiens GN=KIAA1524 PE=1 SV=2,NA,NA,NA,NA,0.7473,0.6008
NB5R3_HUMAN_P00387,NADH-cytochrome b5 reductase 3 OS=Homo sapiens GN=CYB5R3 PE=1 SV=3,NA,NA,NA,0.4147,0.4106,0.6535
ACOT9_HUMAN_Q9Y305,Acyl-coenzyme A thioesterase 9_ mitochondrial OS=Homo sapiens GN=ACOT9 PE=1 SV=2,NA,0.144,0.3379,0.1519,NA,NA
MBD5_HUMAN_Q9P267,Methyl-CpG-binding domain protein 5 OS=Homo sapiens GN=MBD5 PE=1 SV=3,NA,0.8589,NA,0.6092,NA,0.9573
SCAFB_HUMAN_Q99590,Protein SCAF11 OS=Homo sapiens GN=SCAF11 PE=1 SV=2,NA,0.2705,0.6867,0.3425,NA,0.3526
PPIL1_HUMAN_Q9Y3C6,Peptidyl-prolyl cis-trans isomerase-like 1 OS=Homo sapiens GN=PPIL1 PE=1 SV=1,NA,0.0973,NA,0.0791,NA,NA
G5E9S8_HUMAN_G5E9S8,Kinesin light chain 1 OS=Homo sapiens GN=KLC1 PE=1 SV=1,0.4959,0.4843,NA,NA,0.8905,0.2481
MPP5_HUMAN_Q8N3R9,MAGUK p55 subfamily member 5 OS=Homo sapiens GN=MPP5 PE=1 SV=3,0.1584,0.2941,0.1516,0.1221,0.1246,0.1289
PAIP1_HUMAN_Q9H074,Polyadenylate-binding protein-interacting protein 1 OS=Homo sapiens GN=PAIP1 PE=1 SV=1,0.1524,0.1288,NA,0.2018,NA,NA
CLPP_HUMAN_Q16740,ATP-dependent Clp protease proteolytic subunit_ mitochondrial OS=Homo sapiens GN=CLPP PE=1 SV=1,NA,0.1576,0.2097,0.1311,0.1182,0.1225
H0Y2S9_HUMAN_H0Y2S9,Myosin phosphatase Rho-interacting protein (Fragment) OS=Homo sapiens GN=MPRIP PE=1 SV=3,0.5328,0.4707,NA,0.7351,NA,0.3767
ENSA_HUMAN_O43768,Alpha-endosulfine OS=Homo sapiens GN=ENSA PE=1 SV=1,0.0844,0.0869,NA,0.0474,0.0242,NA
Q5SWX9_HUMAN_Q5SWX9,Nucleoprotein TPR (Fragment) OS=Homo sapiens GN=TPR PE=1 SV=1,0.0729,0.0728,0.0918,0.1246,NA,NA
S4R3N1_HUMAN_S4R3N1,HSPE1-MOB4 readthrough OS=Homo sapiens GN=HSPE1-MOB4 PE=3 SV=1,NA,0.0935,NA,0.0642,0.0773,0.0598
DHX36_HUMAN_Q9H2U1,ATP-dependent RNA helicase DHX36 OS=Homo sapiens GN=DHX36 PE=1 SV=2,0.784,0.4042,NA,NA,0.5446,0.5741
A0A087WUK2_HUMAN_A0A087WUK2,Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens GN=HNRNPDL PE=1 SV=1,NA,0.4386,0.3129,0.3146,NA,NA
APMAP_HUMAN_Q9HDC9,Adipocyte plasma membrane-associated protein OS=Homo sapiens GN=APMAP PE=1 SV=2,NA,1.0579,1.2564,0.8639,0.8534,NA
C9IZQ6_HUMAN_C9IZQ6,HCG2022551_ isoform CRA_j OS=Homo sapiens GN=KALRN PE=1 SV=1,0.5649,2.0266,0.2253,NA,1.753,NA
COA6_HUMAN_Q5JTJ3,Cytochrome c oxidase assembly factor 6 homolog OS=Homo sapiens GN=COA6 PE=1 SV=1,0.0531,NA,0.048,NA,NA,0.041
A0A024R7W5_HUMAN_A0A024R7W5,YTH domain family_ member 3_ isoform CRA_a OS=Homo sapiens GN=YTHDF3 PE=1 SV=1,0.1776,0.3317,0.4006,NA,0.6033,0.1583
DC1L1_HUMAN_Q9Y6G9,Cytoplasmic dynein 1 light intermediate chain 1 OS=Homo sapiens GN=DYNC1LI1 PE=1 SV=3,0.592,0.5357,0.6685,NA,NA,0.433
PTN23_HUMAN_Q9H3S7,Tyrosine-protein phosphatase non-receptor type 23 OS=Homo sapiens GN=PTPN23 PE=1 SV=1,0.1799,0.1053,1.671,NA,0.2376,NA
ZGRF1_HUMAN_Q86YA3,Protein ZGRF1 OS=Homo sapiens GN=ZGRF1 PE=1 SV=3,1.99,1.6284,0.0081,NA,NA,1.1103
TNAP2_HUMAN_Q03169,Tumor necrosis factor alpha-induced protein 2 OS=Homo sapiens GN=TNFAIP2 PE=2 SV=2,0.1322,NA,0.2394,0.5387,0.1046,0.099
AAAT_HUMAN_Q15758,Neutral amino acid transporter B(0) OS=Homo sapiens GN=SLC1A5 PE=1 SV=2,NA,0.8225,NA,NA,0.7175,0.7649
AN13A_HUMAN_Q8IZ07,Ankyrin repeat domain-containing protein 13A OS=Homo sapiens GN=ANKRD13A PE=1 SV=3,NA,NA,0.1007,0.1856,0.2038,0.2091
MP2K3_HUMAN_P46734,Dual specificity mitogen-activated protein kinase kinase 3 OS=Homo sapiens GN=MAP2K3 PE=1 SV=2,0.176,0.218,0.1241,NA,NA,0.0626
UT14A_HUMAN_Q9BVJ6,U3 small nucleolar RNA-associated protein 14 homolog A OS=Homo sapiens GN=UTP14A PE=1 SV=1,NA,0.2158,0.1197,NA,NA,0.1321
ERCC3_HUMAN_P19447,TFIIH basal transcription factor complex helicase XPB subunit OS=Homo sapiens GN=ERCC3 PE=1 SV=1,0.1167,NA,NA,0.1783,0.1583,0.2
NRBP_HUMAN_Q9UHY1,Nuclear receptor-binding protein OS=Homo sapiens GN=NRBP1 PE=1 SV=1,NA,0.4333,0.1312,0.2273,0.2294,NA
PGK2_HUMAN_P07205,Phosphoglycerate kinase 2 OS=Homo sapiens GN=PGK2 PE=1 SV=3,NA,0.0623,0.716,0.0704,NA,NA
SNX9_HUMAN_Q9Y5X1,Sorting nexin-9 OS=Homo sapiens GN=SNX9 PE=1 SV=1,NA,0.0812,NA,0.1338,NA,0.0686
OSB11_HUMAN_Q9BXB4,Oxysterol-binding protein-related protein 11 OS=Homo sapiens GN=OSBPL11 PE=1 SV=2,0.1152,NA,0.1463,0.1907,NA,NA
IF172_HUMAN_Q9UG01,Intraflagellar transport protein 172 homolog OS=Homo sapiens GN=IFT172 PE=1 SV=2,0.6008,0.207,NA,0.4004,0.8813,0.039
RCN2_HUMAN_Q14257,Reticulocalbin-2 OS=Homo sapiens GN=RCN2 PE=1 SV=1,NA,0.2661,NA,0.2885,0.2739,0.3755
ZN207_HUMAN_O43670,BUB3-interacting and GLEBS motif-containing protein ZNF207 OS=Homo sapiens GN=ZNF207 PE=1 SV=1,0.1955,0.2179,0.1706,NA,NA,NA
NEST_HUMAN_P48681,Nestin OS=Homo sapiens GN=NES PE=1 SV=2,1.6828,0.8143,NA,NA,NA,NA
F8VRH0_HUMAN_F8VRH0,Poly(rC)-binding protein 2 (Fragment) OS=Homo sapiens GN=PCBP2 PE=1 SV=2,NA,0.6437,0.6901,NA,0.6273,NA
POTEJ_HUMAN_P0CG39,POTE ankyrin domain family member J OS=Homo sapiens GN=POTEJ PE=3 SV=1,9.926,NA,13.2513,0.0174,NA,1.9128
STAU1_HUMAN_O95793,Double-stranded RNA-binding protein Staufen homolog 1 OS=Homo sapiens GN=STAU1 PE=1 SV=2,NA,1.0165,NA,0.7437,0.7809,0.7111
CUL5_HUMAN_Q93034,Cullin-5 OS=Homo sapiens GN=CUL5 PE=1 SV=4,NA,0.1885,NA,0.1135,NA,0.255
SDHA_HUMAN_P31040,Succinate dehydrogenase [ubiquinone] flavoprotein subunit_ mitochondrial OS=Homo sapiens GN=SDHA PE=1 SV=2,NA,0.3619,NA,0.4019,0.5107,0.1481
IPYR2_HUMAN_Q9H2U2,Inorganic pyrophosphatase 2_ mitochondrial OS=Homo sapiens GN=PPA2 PE=1 SV=2,0.1067,0.1032,0.0802,0.0832,NA,NA
MYH3_HUMAN_P11055,Myosin-3 OS=Homo sapiens GN=MYH3 PE=1 SV=3,NA,0.2947,6.5976,0.9033,NA,NA
U3KQC1_HUMAN_U3KQC1,WD repeat-containing protein 18 (Fragment) OS=Homo sapiens GN=WDR18 PE=1 SV=1,0.2975,0.3556,0.218,0.1944,0.2233,0.2309
MDHC_HUMAN_P40925,Malate dehydrogenase_ cytoplasmic OS=Homo sapiens GN=MDH1 PE=1 SV=4,1.3765,NA,1.2087,1.0854,NA,NA
LAMC2_HUMAN_Q13753,Laminin subunit gamma-2 OS=Homo sapiens GN=LAMC2 PE=1 SV=2,NA,NA,1.3437,0.1448,NA,NA
PP4R2_HUMAN_Q9NY27,Serine/threonine-protein phosphatase 4 regulatory subunit 2 OS=Homo sapiens GN=PPP4R2 PE=1 SV=3,0.0998,0.0383,NA,0.1088,0.0853,0.0334
RGPD3_HUMAN_A6NKT7,RanBP2-like and GRIP domain-containing protein 3 OS=Homo sapiens GN=RGPD3 PE=4 SV=2,NA,1.2866,NA,0.696,0.5099,NA
ERCC6_HUMAN_Q03468,DNA excision repair protein ERCC-6 OS=Homo sapiens GN=ERCC6 PE=1 SV=1,0.4434,0.4993,0.6873,0.4996,NA,0.3403
KIF1A_HUMAN_Q12756,Kinesin-like protein KIF1A OS=Homo sapiens GN=KIF1A PE=1 SV=2,1.533,2.6975,3.0939,NA,1.025,NA
CALD1_HUMAN_Q05682,Caldesmon OS=Homo sapiens GN=CALD1 PE=1 SV=3,NA,1.8214,NA,2.0823,1.8824,NA
H0YH87_HUMAN_H0YH87,Ataxin-2 (Fragment) OS=Homo sapiens GN=ATXN2 PE=1 SV=1,0.5067,0.373,0.3275,NA,0.4138,0.3582
EPN1_HUMAN_Q9Y6I3,Epsin-1 OS=Homo sapiens GN=EPN1 PE=1 SV=2,NA,NA,0.1573,0.3389,0.2823,NA
MYO1E_HUMAN_Q12965,Unconventional myosin-Ie OS=Homo sapiens GN=MYO1E PE=1 SV=2,NA,0.3536,0.1594,0.0833,NA,0.157
K1C24_HUMAN_Q2M2I5,Keratin_ type I cytoskeletal 24 OS=Homo sapiens GN=KRT24 PE=1 SV=1,0.2256,0.1944,0.568,0.0057,0.1338,0.1785
G3PT_HUMAN_O14556,Glyceraldehyde-3-phosphate dehydrogenase_ testis-specific OS=Homo sapiens GN=GAPDHS PE=1 SV=2,0.7083,0.0696,0.4447,NA,NA,0.4465
VPS4B_HUMAN_O75351,Vacuolar protein sorting-associated protein 4B OS=Homo sapiens GN=VPS4B PE=1 SV=2,0.0394,0.0266,NA,0.0696,NA,NA
J3QT28_HUMAN_J3QT28,Mitotic checkpoint protein BUB3 (Fragment) OS=Homo sapiens GN=BUB3 PE=1 SV=1,0.6071,0.5271,NA,0.4239,0.4225,0.4145
NCKP1_HUMAN_Q9Y2A7,Nck-associated protein 1 OS=Homo sapiens GN=NCKAP1 PE=1 SV=1,0.507,0.1737,NA,NA,NA,NA
SPRC_HUMAN_P09486,SPARC OS=Homo sapiens GN=SPARC PE=1 SV=1,0.1156,0.142,NA,0.2066,0.1866,0.1286
UFL1_HUMAN_O94874,E3 UFM1-protein ligase 1 OS=Homo sapiens GN=UFL1 PE=1 SV=2,0.2587,NA,NA,0.1836,NA,0.1062
AT2A3_HUMAN_Q93084,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 OS=Homo sapiens GN=ATP2A3 PE=1 SV=2,3.0881,NA,2.9702,2.4579,NA,2.5358
A0A0U1RR07_HUMAN_A0A0U1RR07,Synaptotagmin-like protein 2 OS=Homo sapiens GN=SYTL2 PE=1 SV=1,0.2967,0.135,3.081,NA,2.3542,0.0592
HMGB1_HUMAN_P09429,High mobility group protein B1 OS=Homo sapiens GN=HMGB1 PE=1 SV=3,NA,NA,NA,0.0911,0.0602,0.0573
CBX5_HUMAN_P45973,Chromobox protein homolog 5 OS=Homo sapiens GN=CBX5 PE=1 SV=1,0.1706,0.1882,0.2571,0.2939,0.1911,0.1858
MAGD2_HUMAN_Q9UNF1,Melanoma-associated antigen D2 OS=Homo sapiens GN=MAGED2 PE=1 SV=2,0.709,0.5451,NA,NA,0.5661,0.4826
SPF30_HUMAN_O75940,Survival of motor neuron-related-splicing factor 30 OS=Homo sapiens GN=SMNDC1 PE=1 SV=1,0.0577,0.0777,NA,0.1034,NA,0.142
WDR46_HUMAN_O15213,WD repeat-containing protein 46 OS=Homo sapiens GN=WDR46 PE=1 SV=3,NA,NA,NA,0.5098,0.3505,0.308
TGRM1_HUMAN_Q9Y4F4,TOG array regulator of axonemal microtubules protein 1 OS=Homo sapiens GN=TOGARAM1 PE=1 SV=4,NA,NA,3.5836,0.655,0.1115,1.467
A8MX94_HUMAN_A8MX94,Glutathione S-transferase P OS=Homo sapiens GN=GSTP1 PE=1 SV=1,NA,1.115,1.1002,1.4376,1.3353,NA
AAR2_HUMAN_Q9Y312,Protein AAR2 homolog OS=Homo sapiens GN=AAR2 PE=1 SV=2,0.0602,NA,0.1035,0.1211,NA,NA
LACTB_HUMAN_P83111,Serine beta-lactamase-like protein LACTB_ mitochondrial OS=Homo sapiens GN=LACTB PE=1 SV=2,NA,0.1499,NA,0.1372,0.1297,NA
NEBL_HUMAN_O76041,Nebulette OS=Homo sapiens GN=NEBL PE=1 SV=1,0.04,NA,0.0857,NA,0.4084,NA
CTBP2_HUMAN_P56545,C-terminal-binding protein 2 OS=Homo sapiens GN=CTBP2 PE=1 SV=1,0.1518,0.2461,NA,0.056,0.0545,NA
1A02_HUMAN_P01892,HLA class I histocompatibility antigen_ A-2 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=1,0.634,0.5656,NA,0.5405,0.4881,0.4872
ARFG3_HUMAN_Q9NP61,ADP-ribosylation factor GTPase-activating protein 3 OS=Homo sapiens GN=ARFGAP3 PE=1 SV=1,0.3055,0.2293,0.21560000000000001,0.2173,NA,0.0976
K7EIN1_HUMAN_K7EIN1,WW domain-binding protein 2 (Fragment) OS=Homo sapiens GN=WBP2 PE=1 SV=1,0.0673,NA,0.1024,0.0285,0.0523,NA
M0R0Y2_HUMAN_M0R0Y2,Alpha-soluble NSF attachment protein OS=Homo sapiens GN=NAPA PE=1 SV=1,0.2657,0.2375,NA,0.2326,0.2635,NA
ASPC1_HUMAN_Q9BZE9,Tether containing UBX domain for GLUT4 OS=Homo sapiens GN=ASPSCR1 PE=1 SV=1,0.2971,0.2329,0.0762,0.0633,0.0426,0.0422
SEH1_HUMAN_Q96EE3,Nucleoporin SEH1 OS=Homo sapiens GN=SEH1L PE=1 SV=3,0.0349,0.0552,NA,0.0415,NA,NA
F5H157_HUMAN_F5H157,Ras-related protein Rab-35 (Fragment) OS=Homo sapiens GN=RAB35 PE=1 SV=1,0.0098,0.0107,0.0168,NA,0.0082,0.0073
RAB1C_HUMAN_Q92928,Putative Ras-related protein Rab-1C OS=Homo sapiens GN=RAB1C PE=5 SV=2,0.2781,0.3657,NA,0.5738,0.7127,0.7112
IRGQ_HUMAN_Q8WZA9,Immunity-related GTPase family Q protein OS=Homo sapiens GN=IRGQ PE=1 SV=1,0.2091,0.9732,0.0606,NA,NA,0.1132
PAL4G_HUMAN_P0DN37,Peptidyl-prolyl cis-trans isomerase A-like 4G OS=Homo sapiens GN=PPIAL4G PE=3 SV=1,0.001,0.0177,NA,0.0156,NA,NA
FAK2_HUMAN_Q14289,Protein-tyrosine kinase 2-beta OS=Homo sapiens GN=PTK2B PE=1 SV=2,0.1476,0.3833,2.2964,NA,0.9593,0.6175
J3KN67_HUMAN_J3KN67,Tropomyosin alpha-3 chain OS=Homo sapiens GN=TPM3 PE=1 SV=1,0.029,0.0023,NA,0.0148,NA,1.0859
SNF5_HUMAN_Q12824,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 OS=Homo sapiens GN=SMARCB1 PE=1 SV=2,NA,0.0945,NA,0.0951,NA,NA
F5H5V4_HUMAN_F5H5V4,26S proteasome non-ATPase regulatory subunit 9 (Fragment) OS=Homo sapiens GN=PSMD9 PE=1 SV=1,NA,0.1689,NA,0.1344,NA,0.0688
GPDM_HUMAN_P43304,Glycerol-3-phosphate dehydrogenase_ mitochondrial OS=Homo sapiens GN=GPD2 PE=1 SV=3,1.0883,1.1857,0.2988,0.8526,NA,0.1207
2AAB_HUMAN_P30154,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform OS=Homo sapiens GN=PPP2R1B PE=1 SV=3,0.2644,NA,NA,0.0084,NA,NA
RAB9A_HUMAN_P51151,Ras-related protein Rab-9A OS=Homo sapiens GN=RAB9A PE=1 SV=1,0.084,0.0721,0.0749,NA,0.0331,NA
PSA4_HUMAN_P25789,Proteasome subunit alpha type-4 OS=Homo sapiens GN=PSMA4 PE=1 SV=1,0.7082,NA,0.7089,0.9759,NA,0.7363
CK5P2_HUMAN_Q96SN8,CDK5 regulatory subunit-associated protein 2 OS=Homo sapiens GN=CDK5RAP2 PE=1 SV=5,1.4451,NA,1.1179,1.6256,0.3183,0.523
AAK1_HUMAN_Q2M2I8,AP2-associated protein kinase 1 OS=Homo sapiens GN=AAK1 PE=1 SV=3,NA,0.1015,0.1835,0.0954,NA,0.1462
NUP37_HUMAN_Q8NFH4,Nucleoporin Nup37 OS=Homo sapiens GN=NUP37 PE=1 SV=1,0.1796,0.131,0.1631,0.0987,0.1103,NA
NAA10_HUMAN_P41227,N-alpha-acetyltransferase 10 OS=Homo sapiens GN=NAA10 PE=1 SV=1,0.0695,NA,NA,0.0639,0.0619,0.0485
EXOC8_HUMAN_Q8IYI6,Exocyst complex component 8 OS=Homo sapiens GN=EXOC8 PE=1 SV=2,0.1307,0.1452,NA,0.152,2.2797,0.2114
PUM1_HUMAN_Q14671,Pumilio homolog 1 OS=Homo sapiens GN=PUM1 PE=1 SV=3,1.6066,NA,0.7787,0.3345,NA,0.0967
TBCB_HUMAN_Q99426,Tubulin-folding cofactor B OS=Homo sapiens GN=TBCB PE=1 SV=2,0.6671,NA,NA,0.5389,0.5179,NA
PRI2_HUMAN_P49643,DNA primase large subunit OS=Homo sapiens GN=PRIM2 PE=1 SV=2,0.2169,0.1372,0.0516,0.2474,NA,0.1678
H12_HUMAN_P16403,Histone H1.2 OS=Homo sapiens GN=HIST1H1C PE=1 SV=2,NA,NA,NA,1.5796,0.0877,1.4335
IFT74_HUMAN_Q96LB3,Intraflagellar transport protein 74 homolog OS=Homo sapiens GN=IFT74 PE=1 SV=1,0.1414,NA,0.1139,0.3911,0.0731,0.0981
FPPS_HUMAN_P14324,Farnesyl pyrophosphate synthase OS=Homo sapiens GN=FDPS PE=1 SV=4,NA,0.4802,NA,0.2979,0.6042,0.5645
AINX_HUMAN_Q16352,Alpha-internexin OS=Homo sapiens GN=INA PE=1 SV=2,0.3056,0.0677,0.327,NA,0.1282,0.0101
HIP1R_HUMAN_O75146,Huntingtin-interacting protein 1-related protein OS=Homo sapiens GN=HIP1R PE=1 SV=2,0.2997,NA,NA,NA,0.3223,1.1566
TELO2_HUMAN_Q9Y4R8,Telomere length regulation protein TEL2 homolog OS=Homo sapiens GN=TELO2 PE=1 SV=2,0.5817,NA,0.1592,NA,0.0789,NA
CE170_HUMAN_Q5SW79,Centrosomal protein of 170 kDa OS=Homo sapiens GN=CEP170 PE=1 SV=1,NA,1.1661,0.3911,NA,NA,NA
ITSN1_HUMAN_Q15811,Intersectin-1 OS=Homo sapiens GN=ITSN1 PE=1 SV=3,NA,NA,3.6281,1.2627,1.3867,1.5018
KBP_HUMAN_Q96EK5,KIF1-binding protein OS=Homo sapiens GN=KIF1BP PE=1 SV=1,NA,NA,NA,0.3138,0.3275,0.4089
K7EM87_HUMAN_K7EM87,Ectopic P granules protein 5 homolog OS=Homo sapiens GN=EPG5 PE=1 SV=1,NA,0.1239,0.1562,NA,0.2405,0.1661
DAAF5_HUMAN_Q86Y56,Dynein assembly factor 5_ axonemal OS=Homo sapiens GN=DNAAF5 PE=1 SV=4,NA,0.1121,NA,0.224,0.154,0.3936
LMAN2_HUMAN_Q12907,Vesicular integral-membrane protein VIP36 OS=Homo sapiens GN=LMAN2 PE=1 SV=1,0.756,0.4249,NA,0.4096,0.3859,NA
J3KND1_HUMAN_J3KND1,Protein SAAL1 OS=Homo sapiens GN=SAAL1 PE=1 SV=1,0.1718,NA,0.19,0.0996,0.1105,NA
F5GZS6_HUMAN_F5GZS6,4F2 cell-surface antigen heavy chain OS=Homo sapiens GN=SLC3A2 PE=1 SV=1,1.6096,1.3312,NA,1.1639,1.0462,NA
E9PJ81_HUMAN_E9PJ81,UBX domain-containing protein 1 (Fragment) OS=Homo sapiens GN=UBXN1 PE=1 SV=1,NA,0.0863,0.0653,0.1181,0.1647,0.0786
PP4R1_HUMAN_Q8TF05,Serine/threonine-protein phosphatase 4 regulatory subunit 1 OS=Homo sapiens GN=PPP4R1 PE=1 SV=1,NA,0.1338,0.2956,NA,0.0658,0.2158
PLCE_HUMAN_Q9NUQ2,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon OS=Homo sapiens GN=AGPAT5 PE=1 SV=3,NA,NA,0.0844,0.0411,NA,NA
G3P_HUMAN_P04406,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3,6.4761,4.6552,NA,5.9799,NA,4.8973
SH3K1_HUMAN_Q96B97,SH3 domain-containing kinase-binding protein 1 OS=Homo sapiens GN=SH3KBP1 PE=1 SV=2,0.5086,0.5059,0.5958,0.7242,NA,NA
MYO6_HUMAN_Q9UM54,Unconventional myosin-VI OS=Homo sapiens GN=MYO6 PE=1 SV=4,0.4217,0.3371,3.725,0.3763,0.4073,1.1172
F5H6I0_HUMAN_F5H6I0,Beta-2-microglobulin OS=Homo sapiens GN=B2M PE=1 SV=2,NA,NA,0.2404,0.1055,NA,0.0957
1B73_HUMAN_Q31612,HLA class I histocompatibility antigen_ B-73 alpha chain OS=Homo sapiens GN=HLA-B PE=1 SV=1,0.0504,1.7576,NA,NA,0.0224,0.0136
